num_elems = 134217728; Array is used; 
   Precision;    [GOP/s];  BW [GB/s];  time [ms]; computations; data [Bytes]; Outer Its; Inner Its; Comp Its; # Elements
      double;   98.96181;  791.69449;    1.35626;    134217728;   1073741824;         4;         8;        0;  134217728
      double;  290.66204;  775.09878;    1.38530;    402653184;   1073741824;         4;         8;        1;  134217728
      double;  476.56439;  762.50303;    1.40818;    671088640;   1073741824;         4;         8;        2;  134217728
      double;  857.74913;  762.44367;    1.40829;   1207959552;   1073741824;         4;         8;        4;  134217728
      double; 1632.58538;  768.27547;    1.39760;   2281701376;   1073741824;         4;         8;        8;  134217728
      double; 2876.37960;  697.30415;    1.53985;   4429185024;   1073741824;         4;         8;       16;  134217728
      double; 3218.17017;  396.08248;    2.71090;   8724152320;   1073741824;         4;         8;       32;  134217728
      double; 3331.00914;  206.57421;    5.19785;  17314086912;   1073741824;         4;         8;       64;  134217728
      double; 3382.81951;  105.30177;   10.19681;  34493956096;   1073741824;         4;         8;      128;  134217728
      double; 3403.61477;   53.07781;   20.22958;  68853694464;   1073741824;         4;         8;      256;  134217728
      double; 3420.07388;   26.69326;   40.22520; 137573171200;   1073741824;         4;         8;      512;  134217728
 Ac<3, d, d>;   61.44072;  491.52575;    2.18451;    134217728;   1073741824;         4;         8;        0;  134217728
 Ac<3, d, d>;  180.72082;  481.92218;    2.22804;    402653184;   1073741824;         4;         8;        1;  134217728
 Ac<3, d, d>;  290.00977;  464.01563;    2.31402;    671088640;   1073741824;         4;         8;        2;  134217728
 Ac<3, d, d>;  482.50310;  428.89165;    2.50353;   1207959552;   1073741824;         4;         8;        4;  134217728
 Ac<3, d, d>;  857.91594;  403.72515;    2.65959;   2281701376;   1073741824;         4;         8;        8;  134217728
 Ac<3, d, d>; 1465.92062;  355.37470;    3.02144;   4429185024;   1073741824;         4;         8;       16;  134217728
 Ac<3, d, d>; 2192.79067;  269.88193;    3.97856;   8724152320;   1073741824;         4;         8;       32;  134217728
 Ac<3, d, d>; 2682.21250;  166.33876;    6.45515;  17314086912;   1073741824;         4;         8;       64;  134217728
 Ac<3, d, d>; 3124.87668;   97.27243;   11.03850;  34493956096;   1073741824;         4;         8;      128;  134217728
 Ac<3, d, d>; 3276.38081;   51.09366;   21.01517;  68853694464;   1073741824;         4;         8;      256;  134217728
 Ac<3, d, d>; 3374.78907;   26.33982;   40.76497; 137573171200;   1073741824;         4;         8;      512;  134217728
 Ac<3, d, f>;   58.61413;  234.45652;    2.28985;    134217728;    536870912;         4;         8;        0;  134217728
 Ac<3, d, f>;  172.47072;  229.96097;    2.33462;    402653184;    536870912;         4;         8;        1;  134217728
 Ac<3, d, f>;  287.98780;  230.39024;    2.33027;    671088640;    536870912;         4;         8;        2;  134217728
 Ac<3, d, f>;  481.31809;  213.91915;    2.50969;   1207959552;    536870912;         4;         8;        4;  134217728
 Ac<3, d, f>;  855.00890;  201.17857;    2.66863;   2281701376;    536870912;         4;         8;        8;  134217728
 Ac<3, d, f>; 1467.99999;  177.93939;    3.01716;   4429185024;    536870912;         4;         8;       16;  134217728
 Ac<3, d, f>; 2151.09434;  132.37504;    4.05568;   8724152320;    536870912;         4;         8;       32;  134217728
 Ac<3, d, f>; 2693.99113;   83.53461;    6.42693;  17314086912;    536870912;         4;         8;       64;  134217728
 Ac<3, d, f>; 3061.01653;   47.64228;   11.26879;  34493956096;    536870912;         4;         8;      128;  134217728
 Ac<3, d, f>; 3275.83440;   25.54257;   21.01867;  68853694464;    536870912;         4;         8;      256;  134217728
 Ac<3, d, f>; 3365.74954;   13.13463;   40.87445; 137573171200;    536870912;         4;         8;      512;  134217728
       float;  181.80186;  727.20742;    0.73826;    134217728;    536870912;         4;         8;        0;  134217728
       float;  581.11650;  774.82200;    0.69290;    402653184;    536870912;         4;         8;        1;  134217728
       float;  976.60198;  781.28158;    0.68717;    671088640;    536870912;         4;         8;        2;  134217728
       float; 1775.95143;  789.31175;    0.68018;   1207959552;    536870912;         4;         8;        4;  134217728
       float; 3264.58494;  768.13763;    0.69893;   2281701376;    536870912;         4;         8;        8;  134217728
       float; 6322.70856;  766.38892;    0.70052;   4429185024;    536870912;         4;         8;       16;  134217728
       float;11275.90547;  693.90187;    0.77370;   8724152320;    536870912;         4;         8;       32;  134217728
       float;12570.38162;  389.77928;    1.37737;  17314086912;    536870912;         4;         8;       64;  134217728
       float;13000.43705;  202.34143;    2.65329;  34493956096;    536870912;         4;         8;      128;  134217728
       float;12990.27694;  101.28871;    5.30040;  68853694464;    536870912;         4;         8;      256;  134217728
       float;13284.20539;   51.84080;   10.35615; 137573171200;    536870912;         4;         8;      512;  134217728
 Ac<3, f, f>;   81.52490;  326.09959;    1.64634;    134217728;    536870912;         4;         8;        0;  134217728
 Ac<3, f, f>;  243.15795;  324.21060;    1.65593;    402653184;    536870912;         4;         8;        1;  134217728
 Ac<3, f, f>;  403.83393;  323.06714;    1.66179;    671088640;    536870912;         4;         8;        2;  134217728
 Ac<3, f, f>;  729.14397;  324.06399;    1.65668;   1207959552;    536870912;         4;         8;        4;  134217728
 Ac<3, f, f>; 1321.25113;  310.88262;    1.72692;   2281701376;    536870912;         4;         8;        8;  134217728
 Ac<3, f, f>; 2469.83184;  299.37356;    1.79331;   4429185024;    536870912;         4;         8;       16;  134217728
 Ac<3, f, f>; 4367.74643;  268.78440;    1.99740;   8724152320;    536870912;         4;         8;       32;  134217728
 Ac<3, f, f>; 6783.46621;  210.34004;    2.55240;  17314086912;    536870912;         4;         8;       64;  134217728
 Ac<3, f, f>; 9320.82618;  145.07122;    3.70074;  34493956096;    536870912;         4;         8;      128;  134217728
 Ac<3, f, f>;11005.83047;   85.81544;    6.25611;  68853694464;    536870912;         4;         8;      256;  134217728
 Ac<3, f, f>;12168.63084;   47.48734;   11.30556; 137573171200;    536870912;         4;         8;      512;  134217728
